date,odometer,pricePerFuelUnit,fuelAmount,totalCost,fillUpType,notes
2024-05-06T08:30:00Z,45280,3.489,18.542,64.69,full,Costco
2024-05-25T14:15:00Z,45612,3.549,17.231,61.15,full,
2024-06-10T10:40:00Z,45975,3.629,18.892,68.56,full,Towing weekend
2024-06-28T16:55:00Z,46298,3.679,16.772,61.70,full,Shell
2024-07-15T09:20:00Z,46672,3.729,19.435,72.47,full,Lake trip with trailer
2024-08-02T13:45:00Z,46985,3.689,16.254,59.96,full,
2024-08-20T11:10:00Z,47350,3.619,18.965,68.64,full,Costco
2024-09-06T15:30:00Z,47668,3.499,16.508,57.76,full,
2024-09-24T08:00:00Z,48052,3.439,19.953,68.62,full,Hauling lumber
2024-10-10T14:25:00Z,48358,3.369,15.892,53.54,full,
2024-10-28T10:50:00Z,48735,3.319,19.583,64.98,full,Hunting trip
2024-11-14T16:15:00Z,49032,3.269,15.425,50.40,full,Chevron
2024-11-30T09:40:00Z,49410,3.219,19.641,63.22,full,
2024-12-16T13:05:00Z,49698,3.169,14.961,47.41,partial,Short on time
2024-12-31T11:30:00Z,50108,3.149,21.283,67.02,full,New Year road trip
2025-01-18T08:15:00Z,50425,3.179,16.458,52.31,full,Costco
2025-02-04T14:50:00Z,50778,3.209,18.332,58.83,full,
2025-02-22T10:25:00Z,51092,3.249,16.315,53.01,full,
2025-03-11T15:40:00Z,51485,3.329,20.395,67.89,full,Moving day
2025-03-29T09:00:00Z,51790,3.369,15.851,53.39,full,Shell
2025-04-14T13:30:00Z,52178,3.439,20.139,69.26,full,Spring camping
2025-05-01T08:45:00Z,52488,3.509,16.098,56.50,full,Costco
2025-05-19T16:10:00Z,52872,3.559,19.945,70.98,full,
2025-06-05T11:35:00Z,53195,3.639,16.775,61.06,full,
2025-06-23T14:00:00Z,53590,3.689,20.521,75.70,full,Boat launch trip
2025-07-10T09:25:00Z,53895,3.669,15.847,58.14,full,
2025-07-28T15:50:00Z,54298,3.629,20.924,75.93,full,Towing camper
2025-08-13T10:15:00Z,54592,3.569,15.274,54.52,full,Chevron
2025-09-02T14:40:00Z,54985,3.479,20.391,70.94,full,Labor Day trip
2025-09-20T08:05:00Z,55278,3.429,15.218,52.18,full,Costco
2025-10-08T12:30:00Z,55665,3.369,20.103,67.73,full,
2025-10-25T16:55:00Z,55952,3.319,14.903,49.46,partial,Half tank before inspection
2025-11-11T09:20:00Z,56350,3.279,20.666,67.76,full,Hunting trip
2025-12-01T14:45:00Z,56648,3.219,15.478,49.82,full,
2025-12-18T10:10:00Z,57042,3.189,20.462,65.25,full,Holiday prep
2026-01-05T13:35:00Z,57348,3.209,15.893,51.01,full,Costco
2026-01-22T08:50:00Z,57738,3.239,20.260,65.62,full,
2026-02-04T15:15:00Z,58025,3.269,14.905,48.71,full,
