date,odometer,pricePerFuelUnit,fuelAmount,totalCost,fillUpType,notes
2024-01-08T10:23:00Z,32450,3.189,11.842,37.76,full,Costco
2024-01-22T17:45:00Z,32815,3.249,11.203,36.40,full,
2024-02-05T08:30:00Z,33198,3.279,12.105,39.69,full,Shell on Main St
2024-02-20T12:15:00Z,33570,3.199,11.654,37.28,full,
2024-03-04T16:40:00Z,33961,3.309,12.341,40.84,full,Costco
2024-03-19T09:10:00Z,34328,3.359,11.497,38.62,full,
2024-04-02T14:55:00Z,34732,3.419,12.678,43.34,full,
2024-04-15T11:20:00Z,35089,3.459,11.052,38.23,full,Chevron
2024-04-30T18:05:00Z,35520,3.499,13.421,46.96,full,Road trip to coast
2024-05-13T07:45:00Z,35868,3.539,10.894,38.55,full,
2024-05-28T15:30:00Z,36312,3.619,13.875,50.21,full,Memorial Day trip
2024-06-10T10:00:00Z,36695,3.659,11.984,43.85,full,
2024-06-24T13:20:00Z,37058,3.699,11.346,41.97,full,Costco
2024-07-04T09:15:00Z,37492,3.749,13.562,50.84,full,4th of July road trip
2024-07-18T16:50:00Z,37840,3.699,10.872,40.22,full,
2024-07-31T08:35:00Z,38225,3.649,12.039,43.93,full,Shell
2024-08-14T12:10:00Z,38573,3.599,10.876,39.14,partial,Running late
2024-08-26T17:25:00Z,38901,3.569,12.452,44.44,full,
2024-09-09T11:40:00Z,39310,3.479,12.789,44.49,full,Costco
2024-09-23T14:55:00Z,39668,3.429,11.194,38.38,full,
2024-10-07T09:30:00Z,40052,3.359,12.003,40.31,full,
2024-10-22T16:15:00Z,40398,3.299,10.819,35.69,full,Chevron
2024-11-04T10:45:00Z,40790,3.259,12.254,39.94,full,
2024-11-18T13:20:00Z,41132,3.199,10.697,34.22,full,Costco
2024-12-02T08:50:00Z,41539,3.149,12.731,40.09,full,
2024-12-16T15:30:00Z,41873,3.099,10.452,32.39,full,
2024-12-30T11:00:00Z,42315,3.129,13.826,43.27,full,Holiday travel
2025-01-13T09:20:00Z,42680,3.159,11.421,36.08,full,
2025-01-27T14:45:00Z,43058,3.189,11.822,37.69,full,Shell on Main St
2025-02-10T10:10:00Z,43410,3.219,11.008,35.43,full,Costco
2025-02-24T17:30:00Z,43792,3.269,11.943,39.04,full,
2025-03-10T08:15:00Z,44185,3.329,12.285,40.90,full,
2025-03-25T12:40:00Z,44548,3.389,11.354,38.48,full,
2025-04-07T15:55:00Z,44953,3.449,12.660,43.66,full,Spring break trip
2025-04-21T09:30:00Z,45301,3.489,10.882,37.97,full,
2025-05-05T11:15:00Z,45703,3.539,12.564,44.46,full,Costco
2025-05-19T16:40:00Z,46049,3.579,10.821,38.73,full,
2025-06-02T08:00:00Z,46468,3.649,13.098,47.80,full,
2025-06-16T14:25:00Z,46820,3.689,11.003,40.59,full,
2025-06-30T10:50:00Z,47235,3.729,12.978,48.39,full,Road trip
2025-07-14T13:15:00Z,47589,3.699,11.075,40.97,full,
2025-07-28T17:00:00Z,47981,3.659,12.243,44.80,full,Chevron
2025-08-11T09:45:00Z,48325,3.599,10.752,38.70,partial,Quick stop
2025-08-25T12:30:00Z,48718,3.549,12.261,43.51,full,Costco
2025-09-08T15:20:00Z,49092,3.479,11.693,40.68,full,
2025-09-22T08:40:00Z,49453,3.429,11.287,38.70,full,
2025-10-06T14:10:00Z,49845,3.369,12.247,41.26,full,
2025-10-20T11:35:00Z,50188,3.319,10.728,35.61,full,Shell
2025-11-03T16:50:00Z,50589,3.279,12.538,41.12,full,
2025-11-17T09:15:00Z,50930,3.229,10.666,34.44,full,Costco
2025-12-01T13:40:00Z,51335,3.189,12.659,40.37,full,
2025-12-15T10:05:00Z,51692,3.149,11.165,35.16,full,
2025-12-29T15:30:00Z,52110,3.169,13.067,41.41,full,New Year trip
2026-01-12T08:55:00Z,52478,3.199,11.508,36.82,full,
2026-01-26T14:20:00Z,52860,3.229,11.942,38.56,full,Costco
2026-02-05T10:30:00Z,53198,3.259,10.572,34.45,full,
