date,odometer,pricePerFuelUnit,fuelAmount,totalCost,fillUpType,notes
2024-03-12T07:45:00Z,18420,3.299,8.452,27.88,full,Costco
2024-03-28T16:20:00Z,18805,3.349,8.891,29.78,full,
2024-04-11T09:10:00Z,19212,3.399,9.312,31.65,full,Shell
2024-04-27T14:35:00Z,19598,3.449,8.823,30.43,full,
2024-05-12T11:00:00Z,20015,3.529,9.541,33.67,full,
2024-05-29T08:15:00Z,20438,3.589,9.678,34.73,full,Day trip
2024-06-13T17:40:00Z,20832,3.649,9.012,32.89,full,Costco
2024-06-30T10:25:00Z,21265,3.699,9.903,36.63,full,
2024-07-15T13:50:00Z,21648,3.729,8.765,32.68,full,
2024-08-01T09:30:00Z,22075,3.679,9.772,35.94,full,
2024-08-18T15:15:00Z,22463,3.599,8.876,31.95,full,Chevron
2024-09-03T11:40:00Z,22890,3.489,9.775,34.10,full,Costco
2024-09-20T07:55:00Z,23268,3.429,8.651,29.67,full,
2024-10-06T14:20:00Z,23679,3.369,9.401,31.67,full,
2024-10-24T10:05:00Z,24048,3.309,8.439,27.93,full,
2024-11-09T16:30:00Z,24462,3.269,9.472,30.94,full,Shell
2024-11-26T08:45:00Z,24831,3.219,8.441,27.17,full,Thanksgiving trip
2024-12-12T13:10:00Z,25250,3.169,9.589,30.39,full,Costco
2024-12-29T11:25:00Z,25672,3.149,9.652,30.40,full,Holiday travel
2025-01-14T09:50:00Z,26038,3.179,8.375,26.62,full,
2025-02-01T15:35:00Z,26445,3.209,9.311,29.88,full,
2025-02-18T10:15:00Z,26823,3.249,8.651,28.11,full,Costco
2025-03-06T14:40:00Z,27238,3.319,9.494,31.51,full,
2025-03-23T08:20:00Z,27612,3.369,8.562,28.84,full,
2025-04-08T12:55:00Z,28045,3.439,9.905,34.06,full,Road trip
2025-04-24T16:10:00Z,28410,3.479,8.352,29.06,full,
2025-05-10T09:30:00Z,28835,3.539,9.727,34.42,full,Costco
2025-05-27T14:45:00Z,29208,3.569,8.533,30.45,full,
2025-06-12T11:00:00Z,29642,3.649,9.928,36.22,full,
2025-06-29T07:35:00Z,30018,3.689,8.603,31.73,full,
2025-07-14T15:20:00Z,30452,3.669,9.926,36.42,full,Summer trip
2025-07-30T10:50:00Z,30815,3.629,8.305,30.14,full,
2025-08-15T13:25:00Z,31240,3.569,9.726,34.71,full,Chevron
2025-09-01T08:40:00Z,31598,3.489,8.191,28.58,partial,Quick stop before work
2025-09-18T16:00:00Z,32010,3.439,9.427,32.42,full,Costco
2025-10-05T11:30:00Z,32378,3.369,8.417,28.35,full,
2025-10-22T14:15:00Z,32795,3.329,9.537,31.73,full,
2025-11-07T09:00:00Z,33152,3.279,8.168,26.78,full,
2025-11-24T15:45:00Z,33570,3.239,9.562,30.97,full,Thanksgiving
2025-12-10T10:20:00Z,33928,3.199,8.189,26.20,full,Costco
2025-12-27T13:55:00Z,34358,3.179,9.836,31.27,full,Holiday driving
2026-01-12T08:30:00Z,34715,3.209,8.168,26.22,full,
2026-01-28T14:10:00Z,35120,3.249,9.266,30.10,full,Shell
